Company,Job Role,Stipend,Location
Technocratiq Digital,Digital Marketing,"₹ 5,000-10,000 /month",Work From Home
Janvi Chitalia,Graphic Design,"₹ 5,000 /month",Mumbai
Vijaya  Ram,Business Development (Sales),"₹ 15,000 /month",Bangalore
E-Vega Mobility Labs LLP,Business Development (Sales),"₹ 7,000 /month +  Incentives",Ahmedabad
Crimson Insights Technologies LLP,Graphic Design (Gaming),"₹ 10,000 /month",Work From Home
Canopus Media,Content Development (English),"₹ 5,000 /month",Delhi
Qlass Edtech,Talent Acquisition,"₹ 3,000 /month",Work From Home
Talentgum,Performance Marketing,"₹ 10,000-15,000 /month",Work From Home
Missing P Advertising & Marketing LLP,Social Media Marketing,"₹ 5,000-8,000 /month",Mumbai
Across The Globe (ATG),Python Automation,"₹ 2,500 /month +  Incentives",Work From Home
Mighty Millets,Operations,"₹ 7,000-15,000 /month",Pune
Funberry Foods Private Limited  (TROFFINO),Food Processing Engineering,Unpaid,Umbergaon
She Can Foundation,Social Work,Unpaid,Work From Home
BELAKHEDA UDAY BHARTI SAMAJ KALYAN SAMITEE,3D Printing,Unpaid,Work From Home
1stMentor,Microsoft Azure Course Creation (English & Hindi),"₹ 8,000-12,000 lump sum",Work From Home
FavTutor,Content Writing (Computer Science),"₹ 7,000 /month",Work From Home
Career Success,Human Resources (HR),"₹ 1,000 /month +  Incentives",Work From Home
Everyday Job Alert,Content Writing,"₹ 3,000 /month",Work From Home
Binary Semantics Limited,Graphic Design,"₹ 12,000 /month",Gurgaon
Matcha Glow,Graphic Design,"₹ 5,000 /month",Work From Home
Gobabygo (OPC) Private Limited,Operations,"₹ 15,000 /month",Delhi
Hustlestan,Video Editing/Making,"₹ 3,000-5,000 /month",Work From Home
Byteprojects Technologies,Mobile App Development,"₹ 5,000-10,000 /month",Work From Home
Black Grapes Softech,Business Development (Sales),"₹ 5,000 /month +  Incentives",Indore
The Sports Orbit,Content Writing,"₹ 1,000-2,000 /month",Work From Home
JV Smileys Foundation,Social Media Marketing,Unpaid,Work From Home
AMPLE PROPDEALS PRIVATE LIMITED,Telecalling,"₹ 8,000 /month",Delhi
Braintech Solutions,Subject Matter Expert (SME),"₹ 10,000-15,000 /month",Work From Home
UrbanNaps,Mechanical Engineering,"₹ 7,000 /month",Ahmedabad
Ace Global,Sales Consultant,"₹ 20,000-30,000 /month",Mumbai
English Yaari,Graphic Design,"₹ 5,000 /month",Work From Home
"Mingle, Eat, Talk",Social Media Marketing,"₹ 5,000 /month",Work From Home
G2V Solar Solutions Private Limited,Engineering Design,"₹ 4,000-6,000 /month",Visakhapatnam
Campa Club,Business Development (Sales),"₹ 5,000 /month",Work From Home
Expert Right,Operations,"₹ 6,000 /month",Work From Home
Quizzy,Quality Assurance (Content),"₹ 8,000-12,000 /month",Work From Home
Addinfi,Digital Marketing,"₹ 4,000 /month",Nagpur
Adbhuttam Holidays,Social Media Marketing,"₹ 5,000-10,000 /month",Work From Home
Celebrare,Video Editing/Making,"₹ 8,000-12,000 /month",Work From Home
Leap Scholar,Sales,"₹ 15,000-20,000 /month",Bangalore
Medi Assist Healthcare Private Limited,Growth Marketing,"₹ 12,000 /month",Noida
Paisabazaar,Sales,"₹ 16,700 /month",Delhi
Cerebry India Tech,Biology,"₹ 15,000 /month",Work From Home
Mangal Times,Content Writing,"₹ 5,000 /month",Work From Home
Modiant Consultancy Services Private Limited,Graphic Design,"₹ 12,000 /month",Work From Home
Indo Archaeology Research,Video Editing/Making,Unpaid,Work From Home
Dashwave,Digital Marketing,"₹ 10,000 /month",Work From Home
Digitally Clicked,Graphic Design,"₹ 5,000 /month",Work From Home
DeepFacts Private Limited,Social Media Marketing,"₹ 1,000 /month",Work From Home
Couple Squad,Marketing,"₹ 3,000-5,000 /month",Work From Home
Hybrowlabs Technologies,Social Media Marketing,"₹ 3,000 /month +  Incentives",Work From Home
Mywisdomlane,E-commerce Consulting,"₹ 15,000-20,000 /month",Mumbai
Earthmax,Interior Design,"₹ 5,000-10,000 /month",Delhi
Web Cue,Video Editing/Making,"₹ 15,000-20,000 /month",Work From Home
CryptoTax International Private Limited,Accounting & Bookkeeping,"₹ 10,000 /month",Mumbai
Expand My Business,Search Engine Optimization (SEO),"₹ 15,000 /month",Gurgaon
Six Sports,Content Writing (European Football),"₹ 1,000 /month",Work From Home
Urja Talents,Human Resources (HR),"₹ 7,000 /month",Mumbai
Dyrect,UX/UI Design,"₹ 10,000 /month",Work From Home
TerraPay India Solution Private Limited,Compliance,"₹ 6,000 /month",Bangalore
MennrTel,UI/UX Design,"₹ 5,000 /month",Noida
Thinklance Edutech,Business Development (Sales),"₹ 15,000 /month +  Incentives",Bangalore
Foresight Management Consultants,Human Resources (HR),"₹ 12,000 /month",Delhi
Addictive Media,Social Media Marketing,"₹ 3,000 /month",Work From Home
TensorGo Software Private Limited,Product Design,"₹ 15,000 /month",Hyderabad
MAJA Solutions,Data Entry,"₹ 5,000-8,000 /month",Mumbai
Happymonk Technologies Private Limited,Operations,"₹ 10,000 /month",Bangalore
Dight International Chambers,Business Development (Sales),"₹ 5,000 /month +  Incentives",Delhi
GISR Foundation,Graphic Design,"₹ 5,000 /month",Work From Home
Ajay Reddy,Search Engine Optimization (SEO),"₹ 5,000-7,000 /month",Work From Home
House Sparrow Films,Motion Graphics,"₹ 15,000 /month",Bangalore
BlueMaarlin Engineering Private Limited,Social Media Marketing,"₹ 2,500 /month",Work From Home
Artscape Projects,Architecture,"₹ 5,000 /month",Chennai
Thirugnana Sambanthem Ravi,Web Development,"₹ 5,000-15,000 /month",Chennai
Pennovate,Video Editing/Making,"₹ 6,000-12,000 /month",Work From Home
Innowrap Technologies,Talent Acquisition,"₹ 5,000 /month",Work From Home
Insightful Technologies,Search Engine Optimization (SEO),"₹ 5,000 /month",Noida
D. Pathak & Company,Accounting & Taxation,"₹ 6,000-10,000 /month",Gurgaon
GrowGlobal,Video Editing/Making,"₹ 5,000-6,000 /month",Work From Home
Vumonic Datalabs,Graphic Design,"₹ 15,000 /month",Bangalore
ACMY & Associates,Company Secretary (CS),"₹ 5,000 /month",Mumbai
Jarvics Technologies,Software Testing,"₹ 7,000-12,000 /month",Punjab
Jarvics Technologies,Full Stack Development,"₹ 10,000-20,000 /month",Panchkula
V One Entertainment,Video Editing/Making,"₹ 10,000 /month",Mumbai
Jarvics Technologies,Java Development,"₹ 8,000-15,000 /month",Punjab
Jarvics Technologies,Python Development,"₹ 7,000-12,000 /month",Ropar
Jarvics Technologies,Reactjs Development,"₹ 7,000-12,000 /month",Fatehgarh Sahib
Savita Oil Technologies Limited,Human Resources (HR),"₹ 8,000 /month",Mumbai
Jarvics Technologies,JavaScript Development,"₹ 7,000-12,000 /month",Punjab
Jarvics Technologies,Node.js Development,"₹ 7,000-12,000 /month",Rupnagar
Signel Biomedical Private Limited,Field Sales,"₹ 5,000 /month +  Incentives",Warangal
Roslin Institute Of Concepts (OPC) Private Limited,Operations,"₹ 1,000 /month",Work From Home
MentorBoxx,Data Entry,"₹ 3,000-5,000 /month",Pune
MentorBoxx,Human Resources (HR),"₹ 3,000-4,000 /month",Pune
MentorBoxx,Marketing,"₹ 3,000-7,000 /month",Work From Home
MentorBoxx,Graphic Design,"₹ 5,000-7,000 /month",Work From Home
TripHawker,Travel Consultant (Sales),"₹ 15,000 /month",Delhi
BlueOcean Healthcare Private Limited,Video Editing/Making,"₹ 10,000 /month",Work From Home
Buddha Education Association Incorporation,Content Writing,"₹ 15,000 /month",Noida
Buddha Education Association Incorporation,Human Resources (HR),"₹ 18,000 /month",Lucknow
Buddha Education Association Incorporation,Marketing,"₹ 16,000 /month",Mumbai
Buddha Education Association Incorporation,Operations,"₹ 15,000 /month",Nagpur
Buddha Education Association Incorporation,Web Development,"₹ 20,000 /month",Noida
Buddha Education Association Incorporation,Interior Design,"₹ 15,000 /month",Work From Home
Buddha Education Association Incorporation,Mechanical Engineering,"₹ 18,000 /month",Nagpur
Buddha Education Association Incorporation,Business Development (Sales),"₹ 20,000 /month",Patna
Sourav Sir's Classes,Social Media Marketing,"₹ 3,500-8,500 /month",Kolkata
AATM WELLNESS AND RECREATION,Digital Marketing,"₹ 5,000-10,000 /month",Noida
Evoluzione,E-commerce Operations,"₹ 15,000 /month",Delhi
Celetel,Human Resources (HR),"₹ 10,000-20,000 /month",Noida
Eduonix Learning Solutions Private Limited,Corporate Sales,"₹ 10,000 /month",Navi Mumbai
Surat Jugaad,Digital Marketing,"₹ 2,000 /month",Surat
Inspiring Touch,Recruitment,"₹ 10,000 /month",Bangalore
DHL Supply Chain,Human Resources (HR),"₹ 15,000 /month",Mumbai
Minto Edu,Video Editing/Making,"₹ 2,500 /month",Work From Home
Force-Intellect Private Limited,ERP Functional Consultant,"₹ 12,000 /month",Bhilai
Avisa Digitech,Graphic Design,"₹ 5,000 /month",Work From Home
Abbey Edge India Private Limited,Sales,"₹ 3,000 /month +  Incentives",Mohali
Satya Kabir E-Solutions Private Limited,Content Writing,"₹ 10,000-12,000 /month",Bhopal
Hansa Customer Equity Private Limited,Marketing,"₹ 15,000 /month",Mumbai
Agrasol Farmtech (OPC) Private Limited,Digital Marketing,"₹ 10,000-15,000 /month",Jaipur
Jewels Infosystems,Social Media Marketing,"₹ 8,000 /month",Jaipur
PiedPiper Events,Client Servicing,"₹ 5,000 /month",Bangalore
ApClub,Operations,"₹ 20,000 /month",Bangalore
CultureX Entertainment Private Limited,Business Development (Sales),"₹ 7,000 /month",Ahmedabad
Chaos Dynamics,Data Entry,"₹ 5,000 /month",Indore
Satthwa,Graphic Design,"₹ 10,000-15,000 lump sum",Delhi
JewelVUE,Graphic Design,"₹ 10,000 /month",Mumbai
Teraflix Techno Solutions Private Limited,Business Development (Sales),"₹ 4,000 /month +  Incentives",Work From Home
Raw Knowledge,Business Development (Sales),"₹ 18,000-27,000 /month",Gurgaon
Verbify Co.,Social Media Marketing,"₹ 5,000 /month",Work From Home
Hindustan Wellness,Human Resources (HR),"₹ 5,000 /month",Gurgaon
Kerala Book Store,Customer Service,"₹ 4,000 /month +  Incentives",Thiruvananthapuram
Gurukool,Business Development (Sales),"₹ 6,000 /month",Pune
TrendyDice,Digital Marketing,"₹ 10,000-15,000 /month",Delhi
ARMC,Human Resources (HR),"₹ 5,000 /month +  Incentives",Chennai
Bilateral Solutions Private Limited,Python Development,"₹ 10,000 /month",Mandi
Earth5R,Environmental Sciences,"₹ 8,000 /month",Mumbai
Aditsh Software Private Limited,Sales,"₹ 10,000 /month",Work From Home
Cloud Certitude Private Limited,Telecalling,"₹ 12,000 /month",Gurgaon
Old Phantom,Social Media Marketing,"₹ 1,000 /month +  Incentives",Work From Home
Hiimpact Consultant Private Limited,Talent Acquisition,"₹ 5,000-10,000 /month",Mathura
Team Car Delight,Reels Editing,"₹ 10,000-12,000 /month",Work From Home
Ekatva Foundation,Humanities,"₹ 500-2,500 lump sum",Work From Home
Vikalp India Private Limited,Online Faculty For Arabic Language/Literature,"₹ 5,000-8,000 /month",Work From Home
Soul Sync Project,Mental Health Awareness,"₹ 6,000 lump sum",Mumbai
Digital Factorys,Media & Public Relations (PR),"₹ 10,000 /month",Work From Home
ER Marketers,Graphic Design,"₹ 1,000 /month",Work From Home
TSAW Drones,Flutter Development,"₹ 6,000 /month",Noida
Kartik Arora,Social Media Marketing,"₹ 1,500 /month",Work From Home
Application Ally,Marketing,"₹ 5,000 /month",Pune
TLK,Motion Graphics,"₹ 8,000 /month",Work From Home
Wordstag,Marketing,"₹ 5,000 /month",Ahmedabad
The OmniJobs,Business Growth,"₹ 5,000 /month +  Incentives",Work From Home
PeakPals,Videography,"₹ 5,000 lump sum",Delhi
Promo Craft India,Video Editing/Making,"₹ 5,000-10,000 /month",Kolkata
MyTokri,Creative Media Finding,"₹ 13,500 /month",Work From Home
KaterKing,E-Commerce Catalog Management,"₹ 7,000 /month",Work From Home
Ingenkart,Copywriting,"₹ 10,000 /month",Mumbai
Newzertainment,Content Writing,"₹ 1,000 /month",Work From Home
ChitraChaya India Private Limited,Customer Service/Customer Support,"₹ 12,000-14,000 /month",Ghaziabad
HappiMynd,Product Management,"₹ 1,000-2,000 /month",Work From Home
Ekatva Foundation,Marketing,"₹ 500-3,500 lump sum",Work From Home
Facilius Incorporation,Social Media Marketing,"₹ 10,000-15,000 /month",Work From Home
SR Edu Technologies,Software Training,"₹ 5,000 /month +  Incentives",Work From Home
Www.bandBajaateRaho.com (BBR),Law/Legal,"₹ 2,000 /month",Work From Home
Percentilers,Content Writing,"₹ 10,000 /month",Noida
WorkStrive Technologies Private Limited,Human Resources (HR),"₹ 5,000-6,000 /month",Kolkata
Tarun Kaushik,Motion Graphics,"₹ 7,000-12,000 /month",Delhi
Villomes,Digital Marketing,"₹ 8,000 /month",Mumbai
Vinay Dusa,LinkedIn Marketing,"₹ 3,000 /month",Work From Home
Morning Comes,Graphic Design,"₹ 8,000-12,000 /month",Faridabad
Etalon Constructions & Interiors,Interior Design,"₹ 6,000-12,000 /month",Delhi
Biorev LLC,Human Resources (HR),"₹ 10,000 /month",Mohali
RS Media Works,Social Media Marketing,"₹ 3,000-6,000 /month",Kolkata
Parth Edvisors,Social Media Marketing,"₹ 2,500-5,000 /month",Work From Home
Techlyverse,Digital Marketing,"₹ 1,000 /month",Work From Home
Arrastur Innovations Private Limited,Business Development (Sales),"₹ 3,000 /month",Work From Home
Eatshudh,Digital Marketing,"₹ 5,000 /month",Work From Home
Teambees Corp,E-commerce Operations,"₹ 3,000-5,000 /month",Delhi
Fashionalley,E-Commerce Marketing,"₹ 11,000 /month +  Incentives",Delhi
ZENYDATA TECHNOLOGIES PRIVATE LIMITED,Human Resources Generalist (HR Operations),"₹ 1,000-5,000 /month",Work From Home
CloudBird Digital Private Limited,Inside Sales,"₹ 15,000 /month",Work From Home
The OmniJobs,Course Enrollment,"₹ 5,000 /month +  Incentives",Work From Home
SuperBio,Front End Development,"₹ 5,000 /month",Work From Home
SuperBio,Backend Development,"₹ 5,000 /month",Work From Home
SHREE ANAND FILLING STATION,Influencer Marketing,"₹ 15,000 /month",Work From Home
V7 Entertainment,Video Editing/Making,"₹ 8,000 /month",Mumbai
GTF Technologies,Human Resources (HR),"₹ 15,000 /month",Noida
Rovers Jaipur,Hotel Management,"₹ 2,500 /month",Jaipur
Favbookshelf,Content Writing,"₹ 1,000 /month",Work From Home
Fidore Health,E-Commerce Management,"₹ 6,500 /month",Work From Home
ByteIndia Technologies,Telecalling,"₹ 1,000 /month +  Incentives",Work From Home
Sarbati Prints,Social Media Marketing,"₹ 2,000 /month +  Incentives",Varanasi
Ace Coders,Teaching,"₹ 5,000 lump sum",Work From Home
Physics Wallah,Subject Matter Expert (SME),"₹ 8,000 /month +  Incentives",Work From Home
JJ Tax,Law/Legal,"₹ 10,000 /month",Gurgaon
Right Sight Market Research Private Limited,Business Development (Sales),"₹ 4,000 /month",Navi Mumbai
Copper Digital,Sales Consulting,"₹ 15,000 /month",Work From Home
Thermistance Technologies Private Limited,Thermal Simulation,"₹ 4,000 /month",Chikhali
Xartup Fellowship,LinkedIn Outreach Analytics,"₹ 2,000 /month",Mumbai
Ayumedz,Telecalling,"₹ 10,000 /month",Delhi
Samvav Labs,Digital Marketing,"₹ 2,000 /month +  Incentives",Work From Home
DNA Lifestyle,Human Resources (HR),"₹ 7,000 /month",Delhi
Persist Ventures,Operations Assistance,"₹ 12,500 /month",Work From Home
Scalzecom LLC,Social Media Content Creation,"₹ 10,000 /month",Work From Home
The OmniJobs,B2C Sales,"₹ 2,000 /month +  Incentives",Work From Home
HM Aviation,Search Engine Optimization (SEO),"₹ 7,000-12,000 /month",Delhi
Oxy Holidays,Travel Sales (Undergraduate Trainee),"₹ 2,000-4,000 /month",Delhi
QuizRanker.org,Video Editing/Making,"₹ 2,500 /month",Work From Home
Faclon,Product Management,"₹ 8,000-10,000 /month",Mumbai
Ye Hai India,Social Media Marketing,"₹ 5,000 /month",Work From Home
Hrita Solutions Private Limited,Social Media Content Creation,"₹ 11,000 /month",Mumbai
Techsorize Solutions LLP,Social Media Marketing,"₹ 5,000 /month",Mumbai
Margerita,Social Media Marketing,"₹ 5,000-10,000 /month",Ghaziabad
Consultmate,Social Media Marketing,"₹ 5,000-8,000 /month",Work From Home
Caarz.in,Corporate Sales,"₹ 5,000 /month",Work From Home
Core Techies India Private Limited,Business Development (Sales),"₹ 10,500 /month",Noida
Saint Gauge,Knitwear Design,"₹ 5,000 /month",Delhi
Sam & Marshall Eyewear,Customer Service/Customer Support,"₹ 10,000 /month",Delhi
Kalkine Solutions Private Limited,Recruitment,"₹ 10,000-20,000 /month",Noida
WeDigTech,Community Management,"₹ 6,000 /month",Jaipur
Radiant Sports Management,Data Entry,"₹ 8,000-10,000 /month",Delhi
Bizongo,Online Marketing,"₹ 16,000 /month",Mumbai
Possibilitea,Social Media Marketing,"₹ 7,000 /month",Bangalore
Kaagat,Business Development (Sales),"₹ 1,000 /month +  Incentives",Work From Home
Deepak T,Digital Marketing,"₹ 3,000-5,000 /month",Pune
9CC (Ninecc Education India Private Limited),Business Development (Sales),"₹ 15,000 /month",Delhi
Fyle,Web Development,"₹ 35,000 /month",Work From Home
Peoplecom Private Limited,Media & Public Relations (PR),"₹ 8,000 /month",Bangalore
